system:index,NDVI_count,NDVI_mean,.geo
LT05_033036_19950112,2692,0.0896767878212845,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950128,3566,0.10942143088687145,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950213,0,,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950317,1051,0.11201600267344534,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950402,0,,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950418,3566,0.1649040592332177,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950504,3566,0.1598791511723404,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950520,3566,0.14781520956803312,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950605,3566,0.13695898967540637,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
LT05_033036_19950621,3566,0.12890654424931622,"{""type"":""Polygon"",""coordinates"":[[[-106.631,34.343998865951484],[-106.63404420306283,34.343640673421866],[-106.63684601464377,34.342594616717015],[-106.63918236038856,34.34094398549173],[-106.64086725544342,34.33882020096484],[-106.64176661250448,34.33639234512117],[-106.64180890568696,34.33385369281724],[-106.64099084433609,34.33140632163431],[-106.63937761128258,34.32924502623921],[-106.6370976539676,34.32754181774942],[-106.63433244939975,34.32643224038433],[-106.6313020609618,34.32600459187111],[-106.62824763599899,34.32629290262823],[-106.625412232816,34.32727423018862],[-106.62302149629342,34.32887048321536],[-106.62126571315673,34.330954630605305],[-106.62028467012057,34.333360803607526],[-106.62015651864618,34.33589748980804],[-106.620891535235,34.33836277159994],[-106.62243127981478,34.34056039800493],[-106.62465322657592,34.342315410788046],[-106.62738050519988,34.34348807961286],[-106.63039598077623,34.34398503435281],[-106.631,34.343998865951484]]]}"
